|wrapperType|kind|artistId|collectionId|trackId|artistName|collectionName|trackName|collectionCensoredName|trackCensoredName|artistViewUrl|collectionViewUrl|trackViewUrl|previewUrl|artworkUrl30|artworkUrl60|artworkUrl100|collectionPrice|trackPrice|releaseDate|collectionExplicitness|trackExplicitness|discCount|discNumber|trackCount|trackNumber|trackTimeMillis|country|currency|primaryGenreName|isStreamable|collectionArtistName|collectionArtistId
14|track|song|7420827|1452504769|1452505058|Ludovico Einaudi|Divenire|Oltremare|Divenire|Oltremare|https://music.apple.com/us/artist/ludovico-einaudi/7420827?uo=4|https://music.apple.com/us/album/oltremare/1452504769?i=1452505058&uo=4|https://music.apple.com/us/album/oltremare/1452504769?i=1452505058&uo=4|https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview115/v4/1e/c9/c0/1ec9c01c-7637-262b-ca88-e8f431f4fc3e/mzaf_16296329162163915640.plus.aac.p.m4a|https://is3-ssl.mzstatic.com/image/thumb/Music125/v4/d7/53/31/d753316b-5f8c-4a7b-462a-538477e944fa/source/30x30bb.jpg|https://is3-ssl.mzstatic.com/image/thumb/Music125/v4/d7/53/31/d753316b-5f8c-4a7b-462a-538477e944fa/source/60x60bb.jpg|https://is3-ssl.mzstatic.com/image/thumb/Music125/v4/d7/53/31/d753316b-5f8c-4a7b-462a-538477e944fa/source/100x100bb.jpg|9.99|-1.0|2006-11-07T12:00:00Z|notExplicit|notExplicit|1|1|12|7|660000|USA|USD|Classical|True||
15|track|song|7420827|1452504769|1452505144|Ludovico Einaudi|Divenire|Ritornare|Divenire|Ritornare|https://music.apple.com/us/artist/ludovico-einaudi/7420827?uo=4|https://music.apple.com/us/album/ritornare/1452504769?i=1452505144&uo=4|https://music.apple.com/us/album/ritornare/1452504769?i=1452505144&uo=4|https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview125/v4/00/d3/ec/00d3eccc-0bbb-716d-57fb-face131c08cb/mzaf_2767518875392019525.plus.aac.p.m4a|https://is3-ssl.mzstatic.com/image/thumb/Music125/v4/d7/53/31/d753316b-5f8c-4a7b-462a-538477e944fa/source/30x30bb.jpg|https://is3-ssl.mzstatic.com/image/thumb/Music125/v4/d7/53/31/d753316b-5f8c-4a7b-462a-538477e944fa/source/60x60bb.jpg|https://is3-ssl.mzstatic.com/image/thumb/Music125/v4/d7/53/31/d753316b-5f8c-4a7b-462a-538477e944fa/source/100x100bb.jpg|9.99|1.29|2006-11-07T12:00:00Z|notExplicit|notExplicit|1|1|12|11|532000|USA|USD|Classical|True||
16|track|song|7420827|1440762051|1440762223|Ludovico Einaudi|Una Mattina|Dietro Casa|Una Mattina|Dietro Casa|https://music.apple.com/us/artist/ludovico-einaudi/7420827?uo=4|https://music.apple.com/us/album/dietro-casa/1440762051?i=1440762223&uo=4|https://music.apple.com/us/album/dietro-casa/1440762051?i=1440762223&uo=4|https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview115/v4/7e/0b/06/7e0b0654-7ab0-9872-bdea-796ab45d5850/mzaf_17536337500997968560.plus.aac.p.m4a|https://is3-ssl.mzstatic.com/image/thumb/Music125/v4/58/b9/d2/58b9d24a-f0b4-a318-897f-2a8f7c8c592c/source/30x30bb.jpg|https://is3-ssl.mzstatic.com/image/thumb/Music125/v4/58/b9/d2/58b9d24a-f0b4-a318-897f-2a8f7c8c592c/source/60x60bb.jpg|https://is3-ssl.mzstatic.com/image/thumb/Music125/v4/58/b9/d2/58b9d24a-f0b4-a318-897f-2a8f7c8c592c/source/100x100bb.jpg|11.99|1.29|2004-09-06T12:00:00Z|notExplicit|notExplicit|1|1|13|7|229827|USA|USD|Classical|True||
17|track|song|7420827|1440772612|1440772708|Ludovico Einaudi|In a Time Lapse|Walk|In a Time Lapse|Walk|https://music.apple.com/us/artist/ludovico-einaudi/7420827?uo=4|https://music.apple.com/us/album/walk/1440772612?i=1440772708&uo=4|https://music.apple.com/us/album/walk/1440772612?i=1440772708&uo=4|https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview116/v4/e4/87/95/e487955a-f22f-f316-5b8f-26db5f8d3c45/mzaf_8093413178640957176.plus.aac.p.m4a|https://is2-ssl.mzstatic.com/image/thumb/Music115/v4/cd/20/11/cd2011b3-24f4-b5d4-42f2-0ddd72fed21e/source/30x30bb.jpg|https://is2-ssl.mzstatic.com/image/thumb/Music115/v4/cd/20/11/cd2011b3-24f4-b5d4-42f2-0ddd72fed21e/source/60x60bb.jpg|https://is2-ssl.mzstatic.com/image/thumb/Music115/v4/cd/20/11/cd2011b3-24f4-b5d4-42f2-0ddd72fed21e/source/100x100bb.jpg|11.99|1.29|2013-01-21T12:00:00Z|notExplicit|notExplicit|1|1|19|4|207711|USA|USD|Classical Crossover|True||
18|track|song|7420827|1440762051|1440762058|Ludovico Einaudi|Una Mattina|Una Mattina|Una Mattina|Una Mattina|https://music.apple.com/us/artist/ludovico-einaudi/7420827?uo=4|https://music.apple.com/us/album/una-mattina/1440762051?i=1440762058&uo=4|https://music.apple.com/us/album/una-mattina/1440762051?i=1440762058&uo=4|https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview115/v4/c2/fe/4e/c2fe4e32-e850-6499-4b77-55d0e3cdd5a0/mzaf_15771449287548623120.plus.aac.p.m4a|https://is3-ssl.mzstatic.com/image/thumb/Music125/v4/58/b9/d2/58b9d24a-f0b4-a318-897f-2a8f7c8c592c/source/30x30bb.jpg|https://is3-ssl.mzstatic.com/image/thumb/Music125/v4/58/b9/d2/58b9d24a-f0b4-a318-897f-2a8f7c8c592c/source/60x60bb.jpg|https://is3-ssl.mzstatic.com/image/thumb/Music125/v4/58/b9/d2/58b9d24a-f0b4-a318-897f-2a8f7c8c592c/source/100x100bb.jpg|11.99|1.29|2004-09-06T12:00:00Z|notExplicit|notExplicit|1|1|13|1|203800|USA|USD|Classical|True||
19|track|song|7420827|1440762051|1440762063|Ludovico Einaudi|Una Mattina|Ora|Una Mattina|Ora|https://music.apple.com/us/artist/ludovico-einaudi/7420827?uo=4|https://music.apple.com/us/album/ora/1440762051?i=1440762063&uo=4|https://music.apple.com/us/album/ora/1440762051?i=1440762063&uo=4|https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview115/v4/cc/ae/4d/ccae4d6c-fab6-5dfe-61e0-2c55aaebcdef/mzaf_7207279991007203556.plus.aac.p.m4a|https://is3-ssl.mzstatic.com/image/thumb/Music125/v4/58/b9/d2/58b9d24a-f0b4-a318-897f-2a8f7c8c592c/source/30x30bb.jpg|https://is3-ssl.mzstatic.com/image/thumb/Music125/v4/58/b9/d2/58b9d24a-f0b4-a318-897f-2a8f7c8c592c/source/60x60bb.jpg|https://is3-ssl.mzstatic.com/image/thumb/Music125/v4/58/b9/d2/58b9d24a-f0b4-a318-897f-2a8f7c8c592c/source/100x100bb.jpg|11.99|1.29|2004-09-06T12:00:00Z|notExplicit|notExplicit|1|1|13|2|473493|USA|USD|Classical|True||
20|track|song|7420827|1440772612|1440772630|Ludovico Einaudi|In a Time Lapse|Corale|In a Time Lapse|Corale|https://music.apple.com/us/artist/ludovico-einaudi/7420827?uo=4|https://music.apple.com/us/album/corale/1440772612?i=1440772630&uo=4|https://music.apple.com/us/album/corale/1440772612?i=1440772630&uo=4|https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview116/v4/18/4a/17/184a1747-314a-46e5-84e9-0689a255a85a/mzaf_14520802929198703456.plus.aac.p.m4a|https://is2-ssl.mzstatic.com/image/thumb/Music115/v4/cd/20/11/cd2011b3-24f4-b5d4-42f2-0ddd72fed21e/source/30x30bb.jpg|https://is2-ssl.mzstatic.com/image/thumb/Music115/v4/cd/20/11/cd2011b3-24f4-b5d4-42f2-0ddd72fed21e/source/60x60bb.jpg|https://is2-ssl.mzstatic.com/image/thumb/Music115/v4/cd/20/11/cd2011b3-24f4-b5d4-42f2-0ddd72fed21e/source/100x100bb.jpg|11.99|1.29|2013-01-21T12:00:00Z|notExplicit|notExplicit|1|1|19|1|124807|USA|USD|Classical Crossover|True||
21|track|song|7420827|1440749051|1440749648|Ludovico Einaudi|Islands - Essential Einaudi|Nuvole bianche|Islands - Essential Einaudi|Nuvole bianche|https://music.apple.com/us/artist/ludovico-einaudi/7420827?uo=4|https://music.apple.com/us/album/nuvole-bianche/1440749051?i=1440749648&uo=4|https://music.apple.com/us/album/nuvole-bianche/1440749051?i=1440749648&uo=4|https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview115/v4/46/aa/75/46aa75b9-cc86-009d-76c4-0e30efbb38c5/mzaf_9835733673962771976.plus.aac.p.m4a|https://is4-ssl.mzstatic.com/image/thumb/Music125/v4/1c/d6/e8/1cd6e8d5-acd0-89ab-0d51-2839c6f8d6d6/source/30x30bb.jpg|https://is4-ssl.mzstatic.com/image/thumb/Music125/v4/1c/d6/e8/1cd6e8d5-acd0-89ab-0d51-2839c6f8d6d6/source/60x60bb.jpg|https://is4-ssl.mzstatic.com/image/thumb/Music125/v4/1c/d6/e8/1cd6e8d5-acd0-89ab-0d51-2839c6f8d6d6/source/100x100bb.jpg|11.99|1.29|2004-09-06T12:00:00Z|notExplicit|notExplicit|1|1|27|8|357707|USA|USD|Classical|True||
22|track|song|7420827|1440772612|1440772696|Ludovico Einaudi|In a Time Lapse|Time Lapse|In a Time Lapse|Time Lapse|https://music.apple.com/us/artist/ludovico-einaudi/7420827?uo=4|https://music.apple.com/us/album/time-lapse/1440772612?i=1440772696&uo=4|https://music.apple.com/us/album/time-lapse/1440772612?i=1440772696&uo=4|https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview116/v4/65/b7/ff/65b7ffc6-f709-3d24-d0e4-932e3705d73b/mzaf_15477633374451164675.plus.aac.p.m4a|https://is2-ssl.mzstatic.com/image/thumb/Music115/v4/cd/20/11/cd2011b3-24f4-b5d4-42f2-0ddd72fed21e/source/30x30bb.jpg|https://is2-ssl.mzstatic.com/image/thumb/Music115/v4/cd/20/11/cd2011b3-24f4-b5d4-42f2-0ddd72fed21e/source/60x60bb.jpg|https://is2-ssl.mzstatic.com/image/thumb/Music115/v4/cd/20/11/cd2011b3-24f4-b5d4-42f2-0ddd72fed21e/source/100x100bb.jpg|11.99|1.29|2013-01-21T12:00:00Z|notExplicit|notExplicit|1|1|19|2|332000|USA|USD|Classical Crossover|True||
23|track|song|7420827|1440772612|1440772735|Ludovico Einaudi|In a Time Lapse|Waterways|In a Time Lapse|Waterways|https://music.apple.com/us/artist/ludovico-einaudi/7420827?uo=4|https://music.apple.com/us/album/waterways/1440772612?i=1440772735&uo=4|https://music.apple.com/us/album/waterways/1440772612?i=1440772735&uo=4|https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview126/v4/d9/5c/f5/d95cf5ab-fbc3-600f-8c25-09267589c18f/mzaf_1240758786672091334.plus.aac.p.m4a|https://is2-ssl.mzstatic.com/image/thumb/Music115/v4/cd/20/11/cd2011b3-24f4-b5d4-42f2-0ddd72fed21e/source/30x30bb.jpg|https://is2-ssl.mzstatic.com/image/thumb/Music115/v4/cd/20/11/cd2011b3-24f4-b5d4-42f2-0ddd72fed21e/source/60x60bb.jpg|https://is2-ssl.mzstatic.com/image/thumb/Music115/v4/cd/20/11/cd2011b3-24f4-b5d4-42f2-0ddd72fed21e/source/100x100bb.jpg|11.99|1.29|2013-01-21T12:00:00Z|notExplicit|notExplicit|1|1|19|11|257547|USA|USD|Classical Crossover|True||
